Channel,Message,Company Name,Batch,Qualification,Apply Link
-1001309472884,"Prolifics Off Campus Hiring Fresher For Trainee Software Engineer

Live Exam : 1st Jun To 3rd Jun

Location : Hyderabad Pune

Qualification : B. Tech/M. Tech/B.E/MCA

Batch : 2019/2020/2021

Work Experience : Fresher

CTC : 3 LPA

Apply Link : https://bit.ly/2SQfn2Y

Telegram Group Link : https://t.me/fresheroffcampus",Prolifics Off Campus Hiring Fresher For Trainee Software Engineer,2019/2020/2021,B. Tech/M. Tech/B.E/MCA,https://bit.ly/2SQfn2Y
-1001309472884,"Trane Technologies Off Campus Hiring Fresher For Engineer Trainee

Location : Bangalore

Qualification : B.E/B.Tech/M. Tech

Batch : 2021

Work Experience : Fresher

CTC : 4 - 6 LPA

Apply Link : https://bit.ly/3ice7lp

Telegram Group Link : https://t.me/fresheroffcampus",Trane Technologies Off Campus Hiring Fresher For Engineer Trainee,2021,B.E/B.Tech/M. Tech,https://bit.ly/3ice7lp
-1001309472884,"Latest* Cognizant Off Campus Hiring Fresher For Programmer Trainee

Location : Chennai

Qualification : B.E/B.Tech/M.Tech

Batch : 2019/2020/2021

Work Experience : Fresher - 1 Year

CTC : 4 LPA

Apply Link : https://bit.ly/3pbWJ1T

Telegram Group Link : https://t.me/fresheroffcampus",*Latest* Cognizant Off Campus Hiring Fresher For Programmer Trainee,2019/2020/2021,B.E/B.Tech/M.Tech,https://bit.ly/3pbWJ1T
-1001309472884,"ITOrizon Hiring Fresher For Full Stack Java Developer

Location : Bangalore,India

Qualification : B.E/B.Tech/B.Sc/M.Tech

Batch : 2019/2020/2021

Work Experience : 0 - 1 Year

CTC : 4 - 6 LPA

Apply Link : https://bit.ly/3uOR2rI

Telegram Group Link : https://t.me/fresheroffcampus",ITOrizon Hiring Fresher For Full Stack Java Developer,2019/2020/2021,B.E/B.Tech/B.Sc/M.Tech,https://bit.ly/3uOR2rI
-1001309472884,"Google Off Campus Hiring Fresher For Software Engineer

Location : Bangalore

Qualification : B.E/B.Tech/M.E/M.Tech

Batch : 2019/2020/2021

Work Experience : Fresher

Apply Link : https://bit.ly/3pjiFYI

Telegram Group Link : https://t.me/fresheroffcampus",Google Off Campus Hiring Fresher For Software Engineer,2019/2020/2021,B.E/B.Tech/M.E/M.Tech,https://bit.ly/3pjiFYI
-1001309472884,"Blue Flame Labs Hiring Fresher For Trainee Software Developer

Location : Pune

Qualification : B.E/B.Tech/M.Tech

Batch : 2019/2020/2021

Work Experience : Fresher

Apply Link : https://bit.ly/34G6cVM

Telegram Group Link : https://t.me/fresheroffcampus",Blue Flame Labs Hiring Fresher For Trainee Software Developer,2019/2020/2021,B.E/B.Tech/M.Tech,https://bit.ly/34G6cVM
-1001309472884,"Latest *IBM Off Campus Hiring Fresher For Systems Engineer

Location : Across India

Qualification : B.E/B.Tech/M.E/M.Tech/MCA

Batch : 2018/2019/2020

Work Experience : Fresher

CTC  : 4 LPA

Apply Link : https://bit.ly/3vO24yT

Telegram Group Link : https://t.me/fresheroffcampus",*Latest *IBM Off Campus Hiring Fresher For Systems Engineer,2018/2019/2020,B.E/B.Tech/M.E/M.Tech/MCA,https://bit.ly/3vO24yT
-1001309472884,"Firstsource Hiring Fresher 2021 For Associate Software Engineer

Location : Chennai

Qualification : B.E/B.Tech/M.Tech

Batch : 2019/2020/2021

Work Experience : Fresher

Apply Link : https://bit.ly/3pmCjDh

Telegram Group Link : https://t.me/fresheroffcampus",Firstsource Hiring Fresher 2021 For Associate Software Engineer,2019/2020/2021,B.E/B.Tech/M.Tech,https://bit.ly/3pmCjDh
-1001309472884,"Mphasis Off Campus Hiring Fresher For Associate Software Engineer 

Location : Chennai/Bangalore/Hyderabad/Pune/Noida

Qualification : B.E/B.Tech/MCA

Batch : 2021

Work Experience : Fresher

CTC  : 3.5 LPA

Apply Link : https://bit.ly/3imCf4S

Telegram Group Link : https://t.me/fresheroffcampus",Mphasis Off Campus Hiring Fresher For Associate Software Engineer,2021,B.E/B.Tech/MCA,https://bit.ly/3imCf4S
-1001309472884,"Thomson Reuters Hiring Fresher For Customer Service Support

Location : Hyderabad

Qualification : Any Bachelor Degree

Batch : 2019/2020/2021

Work Experience : Fresher

Apply Link : https://bit.ly/3uOUtPh

Telegram Group Link : https://t.me/fresheroffcampus",Thomson Reuters Hiring Fresher For Customer Service Support,2019/2020/2021,Any Bachelor Degree,https://bit.ly/3uOUtPh
-1001309472884,"Technicolor Hiring Fresher For Software Intern 12 Months

Location   : Chennai

Qualification   : M.E/M.Tech/Others

Batch     : Any Batch

Work Experience : Fresher

Intenship  : 12 Months

Apply Link   : https://bit.ly/34PYwjy

Telegram Group Link : https://t.me/fresheroffcampus",Technicolor Hiring Fresher For Software Intern 12 Months,Any Batch,M.E/M.Tech/Others,https://bit.ly/34PYwjy
-1001309472884,"PTC Hiring Fresher For Associate Software Analyst | B.E/B.Tech

Location   : Pune

Qualification   : B.E/B.Tech

Batch     : 2019/2020/2021

Work Experience : Fresher - 2 years

CTC    : 4 - 8 LPA

Apply Link   : https://bit.ly/3g7N8oG

Telegram Group Link : https://t.me/fresheroffcampus",PTC Hiring Fresher For Associate Software Analyst | B.E/B.Tech,2019/2020/2021,B.E/B.Tech,https://bit.ly/3g7N8oG
-1001309472884,"Allscripts Off Campus Hiring Fresher For Associate Software Engineer

Location   : Bengaluru

Qualification   : B.E/B.Tech CS/BCA/MCA/B.Sc CS

Batch     : 2019/2020/2021

Work Experience : Fresher

CTC    : 3.5 - 5 LPA

Apply Link   : https://bit.ly/3x0qohh

Telegram Group Link : https://t.me/fresheroffcampus",Allscripts Off Campus Hiring Fresher For Associate Software Engineer,2019/2020/2021,B.E/B.Tech CS/BCA/MCA/B.Sc CS,https://bit.ly/3x0qohh
-1001309472884,"Samsung Off Campus Hiring Fresher For Software Engineer

Location   : Noida

Qualification   : B.Tech / B.E / Dual Degree / M.Tech

Batch     : 2020/2021 only

Work Experience : Fresher

Apply Link   : https://bit.ly/3fN7qEQ

Telegram Group Link : https://t.me/fresheroffcampus",Samsung Off Campus Hiring Fresher For Software Engineer,2020/2021 only,B.Tech / B.E / Dual Degree / M.Tech,https://bit.ly/3fN7qEQ
-1001309472884,"CloudOnHire Off Campus Hiring Fresher For Software Trainee

Location   : Work From Home

Qualification   : B.E/B.Tech

Batch     : 2021 only

Work Experience : Fresher

Apply Link   : https://bit.ly/3uQmdTI

Telegram Group Link : https://t.me/fresheroffcampus",CloudOnHire Off Campus Hiring Fresher For Software Trainee,2021 only,B.E/B.Tech,https://bit.ly/3uQmdTI
-1001309472884,"Deloitte Hiring Fresher For Quality Engineer Analyst | B.E/B.Tech/M.Tech/MCA/BCA | Hyderabad

Location   : Hyderabad

Qualification   : B.E/B.Tech/M.Tech/MCA/BCA

Batch     : 2019/2020/2021

Work Experience : Fresher

CTC    : 4 - 6 LPA

Apply Link   : https://bit.ly/34Rg5zK

Telegram Group Link : https://t.me/fresheroffcampus",Deloitte Hiring Fresher For Quality Engineer Analyst | B.E/B.Tech/M.Tech/MCA/BCA | Hyderabad,2019/2020/2021,B.E/B.Tech/M.Tech/MCA/BCA,https://bit.ly/34Rg5zK
-1001309472884,"Genpact Hiring Fresher For Process Associate  Customer Care

Location   : Hyderabad

Qualification   : Any Graduate

Batch     : Any Batch

Work Experience : Fresher

Apply Link   : https://bit.ly/3zd6FNg

Telegram Group Link : https://t.me/fresheroffcampus",Genpact Hiring Fresher For Process Associate  Customer Care,Any Batch,Any Graduate,https://bit.ly/3zd6FNg
-1001309472884,"KPMG Off Campus Hiring Fresher For Analyst

Location   : Bangalore

Qualification   : B.E/B.Tech Graduate

Batch     : 2019/2020/2021

Work Experience : Fresher

CTC    : 4 LPA

Apply Link   : https://bit.ly/3g9rkJp

Telegram Group Link : https://t.me/fresheroffcampus",KPMG Off Campus Hiring Fresher For Analyst,2019/2020/2021,B.E/B.Tech Graduate,https://bit.ly/3g9rkJp
-1001309472884,"Rocket Software Off Campus Hiring Fresher For Software Engineer

Location   : Pune

Qualification   : B.E/B.Tech

Batch     : 2019/2020/2021

Work Experience : Fresher

CTC    : 3.5 - 6 LPA

Apply Link   : https://bit.ly/3uQBJib

Telegram Group Link : https://t.me/fresheroffcampus",Rocket Software Off Campus Hiring Fresher For Software Engineer,2019/2020/2021,B.E/B.Tech,https://bit.ly/3uQBJib
-1001309472884,"Greeksoft Technologies Hiring Fresher For Software Developer / Software Test Engineer

Location   : Mumbai/Pune

Qualification   : B.E/B.Tech

Batch     : 2019/2020/2021

Work Experience : Fresher

Apply Link   : https://bit.ly/2SY4AnM

Telegram Group Link : https://t.me/fresheroffcampus",Greeksoft Technologies Hiring Fresher For Software Developer / Software Test Engineer,2019/2020/2021,B.E/B.Tech,https://bit.ly/2SY4AnM
-1001309472884,"XL Dynamics Hiring Freher And Experinenced Jobs For IT Help Desk

Location   : Work From Home

Qualification   : Any Graduates

Batch     : All Batch

Work Experience : Fresher

CTC    : 3 - 5 LPA

Apply Link   : https://bit.ly/3ind4iK

Telegram Group Link : https://t.me/fresheroffcampus",XL Dynamics Hiring Freher And Experinenced Jobs For IT Help Desk,All Batch,Any Graduates,https://bit.ly/3ind4iK
-1001309472884,"Angular Minds Hiring Fresher For Software Developer

Location   : Pune

Qualification   : B.E/B.Tech

Batch     : All Batch

Work Experience : Fresher

Apply Link   : https://bit.ly/3pqb8aY

Telegram Group Link : https://t.me/fresheroffcampus",Angular Minds Hiring Fresher For Software Developer,All Batch,B.E/B.Tech,https://bit.ly/3pqb8aY
-1001309472884,"GeekyAnts India Pvt Ltd Hiring Fresher For ReactJS Developer

Location   : Bengaluru

Qualification   : B.E/B.Tech

Batch     : All Batch

Work Experience : Fresher

CTC    : 5 - 7 LPA

Apply Link   : https://bit.ly/3uU8ew6

Telegram Group Link : https://t.me/fresheroffcampus",GeekyAnts India Pvt Ltd Hiring Fresher For ReactJS Developer,All Batch,B.E/B.Tech,https://bit.ly/3uU8ew6
-1001309472884,"Asteria Aerospace Off Campus Hiring Fresher For Intern - Inventory

Location   : Bengaluru

Qualification   : Electronics/Electrical/Mechanical

Batch     : 2021

Work Experience : Fresher

Apply Link   : https://bit.ly/3w7pn6I

Telegram Group Link : https://t.me/fresheroffcampus",Asteria Aerospace Off Campus Hiring Fresher For Intern - Inventory,2021,Electronics/Electrical/Mechanical,https://bit.ly/3w7pn6I
-1001309472884,"Amazon Off Campus Hiring Fresher For Digital Associate | Any Graduate

Location   : Hyderabad

Qualification   : Any Graduate

Batch     : All Batch Eligible

CTC    : 3 LPA

Work Experience : Fresher - 2 years

Apply Link   : https://bit.ly/3fYVlMY

Telegram Group Link : https://t.me/fresheroffcampus",Amazon Off Campus Hiring Fresher For Digital Associate | Any Graduate,All Batch Eligible,Any Graduate,https://bit.ly/3fYVlMY
-1001309472884,"Nokia Off Campus Hiring Fresher For Graduate Engineer Trainee

Location   : Bangalore/Chennai/Gurgaon/Noida

Qualification   : B.E/B.Tech/M.E/M.Tech

Batch     : 2019/2020/2021 only

Work Experience : Fresher

Apply Link   : https://bit.ly/3pNcuwt

Telegram Group Link : https://t.me/fresheroffcampus",Nokia Off Campus Hiring Fresher For Graduate Engineer Trainee,2019/2020/2021 only,B.E/B.Tech/M.E/M.Tech,https://bit.ly/3pNcuwt
-1001309472884,"Zoho Off Campus Hiring Fresher For Mobile Developer 2021 Passout

Location  : Chennai

Qualification  : B.E/B.Tech/M.E/M.Tech

Batch   : 2021

Work Experience : Fresher

Apply Link  : https://bit.ly/35gEvD0

Telegram Group Link : https://t.me/fresheroffcampus",Zoho Off Campus Hiring Fresher For Mobile Developer 2021 Passout,2021,B.E/B.Tech/M.E/M.Tech,https://bit.ly/35gEvD0
-1001309472884,"Amdocs Hiring Fresher For System Analyst B.E / B.Tech Graduates

Location  : Across India

Qualification  : B.E/B.Tech

Batch   : 2019/2020/2021

Work Experience : Fresher

Apply Link  : https://bit.ly/35lPPOl

Telegram Group Link : https://t.me/fresheroffcampus",Amdocs Hiring Fresher For System Analyst B.E / B.Tech Graduates,2019/2020/2021,B.E/B.Tech,https://bit.ly/35lPPOl
-1001309472884,"HP Enterprise Hiring Fresher For Software Engineer

Location  : Bangalore

Qualification  : B.E/B.Tech/M.E/M.TECH

Batch   : 2019/2020/2021

Work Experience : Fresher

CTC  : 5 - 6 LPA

Apply Link  : https://bit.ly/35nc7iY

Telegram Group Link : https://t.me/fresheroffcampus",HP Enterprise Hiring Fresher For Software Engineer,2019/2020/2021,B.E/B.Tech/M.E/M.TECH,https://bit.ly/35nc7iY
-1001309472884,"LG Soft Off Campus Hiring Fresher For Software Engineer

Location  : Bangalore

Qualification  : B.E/B.Tech

Batch   : 2020/2021 only

Work Experience : Fresher

CTC  : 4.8 LPA

Apply Link  : https://bit.ly/3pUym9j

Telegram Group Link : https://t.me/fresheroffcampus",LG Soft Off Campus Hiring Fresher For Software Engineer,2020/2021 only,B.E/B.Tech,https://bit.ly/3pUym9j
-1001309472884,"Virtusa June Off Campus Hiring Fresher For Associate Engineering Role

Location  : Bangalore,Chennai,Hyderabad,Pune

Qualification  : B.E/B.Tech/MCA

Batch   : 2020/2021 only

Work Experience : Fresher

CTC  : 4 LPA

Apply Link  : https://bit.ly/3zr8lCZ

Telegram Group Link : https://t.me/fresheroffcampus",Virtusa June Off Campus Hiring Fresher For Associate Engineering Role,2020/2021 only,B.E/B.Tech/MCA,https://bit.ly/3zr8lCZ
-1001309472884,"KPIT Technology Bulk Hiring Fresher For Graduate Trainee

Location  : Bangalore,Chennai

Qualification  : B.E/B.Tech/M.Tech

Batch   : 2020 only

Work Experience : Fresher

CTC  : 3.8 LPA

Exam Date : 19 June 2021

Apply Link  : https://bit.ly/35suT8j

Telegram Group Link : https://t.me/fresheroffcampus",KPIT Technology Bulk Hiring Fresher For Graduate Trainee,2020 only,B.E/B.Tech/M.Tech,https://bit.ly/35suT8j
-1001309472884,"Wipro Hiring Fresher For WILP Role 

Wipro Sponsored : M.Tech Degree
 
Location  : Across India

Qualification  : BCA, B.Sc

Batch   : 2021 only

Work Experience : Fresher

Last Date To Apply : 15 July 2021

Apply Link  : https://bit.ly/3zzscQh

Telegram Group Link : https://t.me/fresheroffcampus",Wipro Hiring Fresher For WILP Role,2021 only,"BCA, B.Sc",https://bit.ly/3zzscQh
