Channel,Message
-1001309472884,"Cognizant Fresher Hiring | Programmer Analyst Trainee | Chennai | B.E B.Tech M.tech

Apply Here : https://fresheroffcampusjobs4u.blogspot.com/2021/05/cognizant-recruitment-2021-for.html"
-1001309472884,"Parallel Wireless Fresher Hiring | Python QA Engineer 

CTC : 6LPA 

LOCATION : Bengaluru Pune

Apply link : https://fresheroffcampusjobs4u.blogspot.com/2021/05/parallel-wireless-fresher-hiring-python.html

Telegram :https://t.me/fresheroffcampus"
-1001309472884,"L&T Infotech Off Campus Fresher Hiring For Quality Engineer

Location : Across India

Qualification : B.E / B.Tech / M.E / M.Tech

Work Experience : Freshers - 1 Year

Apply : https://bit.ly/3oF021a"
-1001309472884,"Zoho Off Campus Fresher Hiring For Technical Support

Location : Chennai

Qualification : B.E / B.Tech / M.E / M.Tech

Work Experience : Freshers

Apply : https://bit.ly/3bPm6Rv"
-1001309472884,"Internshala Hiring Software Developer(Web) Immediate Joining

Location : Gurgaon

Qualification : All Graduate

Work Exp0erience : Fresher

Ctc : 6 to 7LPA

Apply : https://bit.ly/34cO85c"
-1001309472884,"Nagarro Hiring Software Engineer Trainee Freshers

Location : Gurgaon

Qualification : B.E / B.Tech / M.E / M.Tech

Work Experience : Freshers

Apply Link : https://bit.ly/3oJhGAQ"
-1001309472884,"FIS Global Hiring Fresher Software Engineer Development | All Graduate

Location : Pune

Qualification : All Graduate

Work Experience : Freshers

Apply Link : https://bit.ly/2SkKgwo

Telegram Group Link : https://t.me/fresheroffcampus"
-1001309472884,"Esko Hiring Fresher QA Engineer Trainee

Location : Bangalore

Qualification : All Engineer Graduate

Work Experience : 0 - 3 Years

Apply Link : https://bit.ly/3fjt8QU

Telegram Group Link : https://t.me/fresheroffcampus"
-1001309472884,"Danfoss Hiring Analysis Engineer-Trainee | Freshers - 2 Years | Chennai

Location : Oragadam,Chennai

Qualification : Engineering Graduate

Work Experience : Fresher - 2 Years

Apply Link : https://bit.ly/3fijH3T

Telegram Group Link : https://t.me/fresheroffcampus"
-1001309472884,"Wipro Hiring Fresher For Associate Role | Any Graduate | Hyderabad

Location : Hyderabad

Qualification : Any Graduate

Work Experience : Fresher

Apply Link : https://bit.ly/34rWmqj

Telegram Group Link : https://t.me/fresheroffcampus"
-1001309472884,"Paypal Hiring Fresher For Software Engineer | 2020 And 2021 Graduates Only

Location : Chennai

Qualification : B.E B.Tech | M.Tech | MCA

Work Experience : Fresher

Apply Link : https://bit.ly/3fSHKWm

Telegram Group Link : https://t.me/fresheroffcampus"
-1001309472884,"T-Systems Hiring Fresher For Software Engineer | Maharashtra colleges only

Location : Pune

Qualification : B.E B.Tech

CTC : 3.5 LPA

Work Experience : Fresher

Apply Link : https://bit.ly/3frT3Wp

Telegram Group Link : https://t.me/fresheroffcampus"
-1001309472884,"Accenture Hiring Fresher For Associate  Digital Marketing | Any Graduate

Location : Hyderabad

Qualification : Any Graduate

Work Experience : Fresher - 1 Year

Apply Link : https://bit.ly/3fvTPBE

Telegram Group Link : https://t.me/fresheroffcampus"
-1001309472884,"BluJay Solutions Off Campus Hiring Fresher For Management Trainee

Location : Hyderabad

Qualification : BE/B.Tech/B.Sc/BCA/M.Sc/MCA  2019 or 2020 Passout only

CTC : 3.5 - 4 LPA

Work Experience : Fresher

Service Bond : No

Apply Link : https://bit.ly/3c2pU1Y

Telegram Group Link : https://t.me/fresheroffcampus"
-1001309472884,"TEKsystems Off Campus Hiring Fresher For Trainee Engineer

Location : Bangalore / Hyderabad

Qualification : B.E / B.Tech / M.E / M.Tech 

CTC : 5 LPA

Work Experience : Fresher

Apply Link : https://bit.ly/3fxwgsw

Telegram Group Link : https://t.me/fresheroffcampus"
-1001309472884,"IndiGo Off Campus Hiring Fresher For Associate JTO | B.E / B.Tech Graduates | Gurugram

Location : Gurugram

Qualification : B.E / B.Tech Graduates

Work Experience : Fresher to 2 Year

Apply Link : https://bit.ly/2TsOEKp

Telegram Group Link : https://t.me/fresheroffcampus"
-1001309472884,"Anion Healthcare Hiring Fresher For Non Voice Process | Any Graduate / PG | Urgent Opening

Location : Hyderabad/Secunderabad

Qualification : Any Graduate

Work Experience : Fresher to 1 Year

Apply Link : https://bit.ly/2R4Jl2R

Telegram Group Link : https://t.me/fresheroffcampus"
