Channel,Message
-1001299734537,"During the lockdown, learning should not stop.
Fortunately, many companies came forward to give their products FREE OF COST for those who register till 15th May 2020 for your learning.
Last Date: 15 May 2020
Registration Link: http://free.aicte-india.org/
All India Council for Technical Education(AICTE)
1. Python for Data Science: http://free.aicte-india.org/Data-Science-for-Beginners.php
2. Java Programming: http://free.aicte-india.org/Java-Programming.php
3. Machine Learning onramp: http://free.aicte-india.org/Machine-Learning-Onramp.php
4. AI/ML Internship: http://free.aicte-india.org/AI-ML-Internship.php
5. R Programming: http://free.aicte-india.org/R-Programming.php
6. Big Data 101: http://free.aicte-india.org/BigData101.php
7. Data Analytics using R: http://free.aicte-india.org/data-analytics-using-R.php
8. Machine Learning using Python: http://free.aicte-india.org/machine-learning-using-python.php
9. Programming Work Bench: http://free.aicte-india.org/Programming-Work-Bench.php
10. MATLAB onramp: http://free.aicte-india.org/MATLAB-Onramp.php
11. Deep Learning onramp: http://free.aicte-india.org/Deep-Learning-Onramp.php
12. Free App-based Courses for Communication Skills and Interview Preparation:http://free.aicte-india.org/communication-skills-and-interview-preparation.php"
-1001299734537,https://www.linkedin.com/posts/sakshi-sachdev-human-resources-35a13b1a7_internship-activity-6660532353670221824-PtPm
-1001299734537,"For free courses and internship updates:


*Telegram Link*
t.me/free_courses_and_intern_updates



Share with others!"
-1001299734537,"Graphic Design & UI/UX Internship

 Skills : Photoshop, Illustrator, Figma/XD/Sketch

 Stipend upto 10,000 INR
Flexible work and Work from Home

Apply here
https://forms.gle/db6VDZudgT4eDGRq8"
-1001299734537,"Hello all,



Many of you ask us about other programs where you can spread the word about GSoC and Open source to your universities. We wanted to pass along an opportunity to help spread more open source knowledge in your universities and learn about many Google technologies to help you and your colleagues in your careers.



If you are still a university student with another 1.5-2 years of university left, you might be interested in being a lead for Developer Student Clubs, a Google Developers community program that launched in 2017 and is currently available to students in most countries (currently not available in China or Japan).



Developer Student Clubs are university based community groups for students interested in Google developer technologies. Students from all undergraduate or graduate programs with an interest in growing as a developer are welcome. By joining a DSC, students grow their knowledge in a peer-to-peer learning environment and build solutions for local businesses and their community.


Developer Student Clubs have already:

Reached 195k student developers

Started 860+ chapters in 68 countries

Organized 3,350+ technical events globally



Do you want to open a Developer Student Club chapter at your university? Join the community of 860 chapters around the world.


Why should you join?

Grow your developer skills

Gain leadership experience

Impact other students by training them

Build solutions for local problems in the community

Be a part of a global network

Gain access to Google technology and platforms

Get invitations to select Google events and conferences

Attend a DSC Leads Summit and meet other leads and Googlers


Fill out the interest form here. Interest forms close May 15, 2020 at 11:59pm, PST.


Feel free to share this email with other student developers or share the announcement from the official @GoogleDevelopers: Instagram, Twitter, Facebook, YouTube, and/or Blog.


To learn more visit
developers.google.com/community/dsc"
-1001299734537,"Dear Sir/Madam,

Technology landscape has emerged out, in the past few weeks with value proposition for online meetings and video conferencing. Most of us are using available communication/networking platforms. These platforms share a majority in terms of usage but there are issues of data security, data breaching. Servers used for data storage are in different countries as they are not indigenous. Looking at this situation at a glance, there is an urge to create an Indigenous App as a solution.

Hence, Bharatiya Shikshan Mandal Yuva Ayam, Research For Resurgence Foundation and IIT Ropar jointly organizes Mobile Based Cloud Video Conferencing Competition to develop indigenous platform working on the basis of Data Pooling with no or minimal Dependence on large server, Beta version demo for minimum 50 users.

Winner will be awarded 5,00,000/-( Five Lakh Rupees Only) along with Development Support
3 Runner ups will get Internship from IIT Ropar
Last Date For :
Proposal Submission: 15th May 2020
Beta version Demo: 31st May 2020

For more details visit : http://rfrfoundation.org/competitions/


PFA:- https://drive.google.com/file/d/1ibJk62Mo3t_kS_kntN9-AzN7KFm7mKHE/view?usp=sharing

Regards
AICTE"
-1001299734537,https://www.linkedin.com/posts/rohit-dayani-270666133_hiringourheroes-hirings-internships-activity-6661957376066883584-uwCD
-1001299734537,https://www.linkedin.com/posts/dimplep2017_hiring-graphic-designer-at-zenoncoio-activity-6661957441896488960-tNBo
-1001299734537,"Link to the course: https://practice.geeksforgeeks.org/courses/placement-preparation-course

Use invite code :- *GFG72A4ZC*"
-1001299734537,"For free courses and internship updates:


*Telegram Link*
t.me/free_courses_and_intern_updates



Share with others!"
